Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
national-league-south,,AFC Totton,Bath City,2,1,H
national-league-south,,AFC Totton,Chelmsford City,2,1,H
national-league-south,,AFC Totton,Chesham United,1,1,D
national-league-south,,AFC Totton,Chippenham Town,1,1,D
national-league-south,,AFC Totton,Dagenham & Redbridge,0,5,A
national-league-south,,AFC Totton,Dorking Wanderers,2,1,H
national-league-south,,AFC Totton,Dover Athletic,3,0,H
national-league-south,,AFC Totton,Eastbourne Borough,2,1,H
national-league-south,,AFC Totton,Ebbsfleet United,0,2,A
national-league-south,,AFC Totton,Enfield Town,3,2,H
national-league-south,,AFC Totton,Farnborough,1,6,A
national-league-south,,AFC Totton,Hampton & Richmond Borough,1,1,D
national-league-south,,AFC Totton,Hemel Hempstead Town,2,1,H
national-league-south,,AFC Totton,Hornchurch,1,0,H
national-league-south,,AFC Totton,Horsham,3,0,H
national-league-south,,AFC Totton,Maidenhead United,2,1,H
national-league-south,,AFC Totton,Maidstone United,0,1,A
national-league-south,,AFC Totton,Salisbury,2,1,H
national-league-south,,AFC Totton,Slough Town,1,1,D
national-league-south,,AFC Totton,Tonbridge Angels,3,0,H
national-league-south,,AFC Totton,Torquay United,1,0,H
national-league-south,,AFC Totton,Weston-super-Mare,3,1,H
national-league-south,,AFC Totton,Worthing,0,3,A
national-league-south,,Bath City,AFC Totton,2,0,H
national-league-south,,Bath City,Chelmsford City,0,1,A
national-league-south,,Bath City,Chesham United,4,2,H
national-league-south,,Bath City,Chippenham Town,1,0,H
national-league-south,,Bath City,Dagenham & Redbridge,0,0,D
national-league-south,,Bath City,Dorking Wanderers,1,2,A
national-league-south,,Bath City,Dover Athletic,1,2,A
national-league-south,,Bath City,Eastbourne Borough,2,0,H
national-league-south,,Bath City,Ebbsfleet United,2,2,D
national-league-south,,Bath City,Enfield Town,1,1,D
national-league-south,,Bath City,Farnborough,0,1,A
national-league-south,,Bath City,Hampton & Richmond Borough,0,4,A
national-league-south,,Bath City,Hemel Hempstead Town,0,3,A
national-league-south,,Bath City,Hornchurch,2,2,D
national-league-south,,Bath City,Horsham,0,2,A
national-league-south,,Bath City,Maidenhead United,0,4,A
national-league-south,,Bath City,Maidstone United,2,3,A
national-league-south,,Bath City,Salisbury,2,0,H
national-league-south,,Bath City,Slough Town,0,1,A
national-league-south,,Bath City,Tonbridge Angels,1,1,D
national-league-south,,Bath City,Torquay United,0,0,D
national-league-south,,Bath City,Weston-super-Mare,0,0,D
national-league-south,,Bath City,Worthing,3,2,H
national-league-south,,Chelmsford City,AFC Totton,1,1,D
national-league-south,,Chelmsford City,Bath City,7,1,H
national-league-south,,Chelmsford City,Chesham United,2,1,H
national-league-south,,Chelmsford City,Chippenham Town,2,1,H
national-league-south,,Chelmsford City,Dagenham & Redbridge,1,4,A
national-league-south,,Chelmsford City,Dorking Wanderers,1,1,D
national-league-south,,Chelmsford City,Dover Athletic,1,2,A
national-league-south,,Chelmsford City,Eastbourne Borough,1,3,A
national-league-south,,Chelmsford City,Ebbsfleet United,0,1,A
national-league-south,,Chelmsford City,Enfield Town,3,0,H
national-league-south,,Chelmsford City,Farnborough,2,5,A
national-league-south,,Chelmsford City,Hampton & Richmond Borough,1,0,H
national-league-south,,Chelmsford City,Hemel Hempstead Town,1,0,H
national-league-south,,Chelmsford City,Hornchurch,2,0,H
national-league-south,,Chelmsford City,Horsham,1,0,H
national-league-south,,Chelmsford City,Maidenhead United,1,1,D
national-league-south,,Chelmsford City,Maidstone United,1,1,D
national-league-south,,Chelmsford City,Salisbury,2,2,D
national-league-south,,Chelmsford City,Slough Town,2,0,H
national-league-south,,Chelmsford City,Tonbridge Angels,1,0,H
national-league-south,,Chelmsford City,Torquay United,0,2,A
national-league-south,,Chelmsford City,Weston-super-Mare,1,0,H
national-league-south,,Chelmsford City,Worthing,1,2,A
national-league-south,,Chesham United,AFC Totton,1,2,A
