Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
southern-league-premier-south,,Bracknell Town,Weston-super-Mare,2,2,D
southern-league-premier-south,,Dorchester Town,North Leigh,2,1,H
southern-league-premier-south,,Gosport Borough,Merthyr Town,3,2,H
southern-league-premier-south,,Hanwell Town,Truro City,1,3,A
southern-league-premier-south,,Hartley Wintney,Swindon Supermarine,0,3,A
southern-league-premier-south,,Hendon,Yate Town,0,1,A
southern-league-premier-south,,Metropolitan Police,Hayes & Yeading United,2,1,H
southern-league-premier-south,,Plymouth Parkway,Chesham United,2,2,D
southern-league-premier-south,,Salisbury,Beaconsfield Town,1,0,H
southern-league-premier-south,,Tiverton Town,Harrow Borough,0,0,D
southern-league-premier-south,,Winchester City,Poole Town,0,3,A
southern-league-premier-south,,Beaconsfield Town,Plymouth Parkway,3,1,H
southern-league-premier-south,,Chesham United,Hartley Wintney,1,0,H
southern-league-premier-south,,Harrow Borough,Winchester City,1,1,D
southern-league-premier-south,,Hayes & Yeading United,Salisbury,1,0,H
southern-league-premier-south,,Merthyr Town,Bracknell Town,1,3,A
southern-league-premier-south,,North Leigh,Metropolitan Police,0,2,A
southern-league-premier-south,,Poole Town,Tiverton Town,2,4,A
southern-league-premier-south,,Swindon Supermarine,Hendon,4,1,H
southern-league-premier-south,,Truro City,Dorchester Town,4,0,H
southern-league-premier-south,,Weston-super-Mare,Gosport Borough,3,0,H
southern-league-premier-south,,Yate Town,Hanwell Town,2,3,A
southern-league-premier-south,,Bracknell Town,Harrow Borough,4,1,H
southern-league-premier-south,,Dorchester Town,Plymouth Parkway,3,1,H
southern-league-premier-south,,Hanwell Town,Chesham United,2,0,H
southern-league-premier-south,,Hayes & Yeading United,Hendon,1,0,H
southern-league-premier-south,,Merthyr Town,Tiverton Town,2,0,H
southern-league-premier-south,,Metropolitan Police,Beaconsfield Town,2,3,A
southern-league-premier-south,,North Leigh,Winchester City,2,4,A
southern-league-premier-south,,Salisbury,Hartley Wintney,1,3,A
southern-league-premier-south,,Weston-super-Mare,Yate Town,3,2,H
southern-league-premier-south,,Gosport Borough,Swindon Supermarine,3,1,H
southern-league-premier-south,,Truro City,Poole Town,1,1,D
southern-league-premier-south,,Beaconsfield Town,Dorchester Town,0,1,A
southern-league-premier-south,,Chesham United,Gosport Borough,2,1,H
southern-league-premier-south,,Harrow Borough,Hanwell Town,0,1,A
southern-league-premier-south,,Hartley Wintney,Hayes & Yeading United,0,0,D
southern-league-premier-south,,Hendon,North Leigh,0,2,A
southern-league-premier-south,,Plymouth Parkway,Merthyr Town,0,1,A
southern-league-premier-south,,Poole Town,Weston-super-Mare,1,3,A
southern-league-premier-south,,Swindon Supermarine,Metropolitan Police,4,2,H
southern-league-premier-south,,Tiverton Town,Bracknell Town,1,1,D
southern-league-premier-south,,Winchester City,Truro City,1,3,A
southern-league-premier-south,,Yate Town,Salisbury,0,4,A
southern-league-premier-south,,Bracknell Town,Chesham United,0,3,A
southern-league-premier-south,,Dorchester Town,Hartley Wintney,4,2,H
southern-league-premier-south,,Gosport Borough,Plymouth Parkway,5,1,H
southern-league-premier-south,,Hanwell Town,Tiverton Town,1,0,H
southern-league-premier-south,,Hayes & Yeading United,Beaconsfield Town,2,2,D
southern-league-premier-south,,Merthyr Town,Poole Town,1,2,A
southern-league-premier-south,,Winchester City,Metropolitan Police,1,1,D
southern-league-premier-south,,North Leigh,Yate Town,3,3,D
southern-league-premier-south,,Salisbury,Swindon Supermarine,2,1,H
southern-league-premier-south,,Truro City,Hendon,4,1,H
southern-league-premier-south,,Weston-super-Mare,Harrow Borough,7,0,H
southern-league-premier-south,,Beaconsfield Town,Hanwell Town,2,2,D
southern-league-premier-south,,Chesham United,North Leigh,1,0,H
southern-league-premier-south,,Harrow Borough,Hayes & Yeading United,1,2,A
southern-league-premier-south,,Hartley Wintney,Bracknell Town,1,2,A
southern-league-premier-south,,Hendon,Metropolitan Police,2,3,A
southern-league-premier-south,,Plymouth Parkway,Weston-super-Mare,1,4,A
southern-league-premier-south,,Poole Town,Salisbury,1,2,A
southern-league-premier-south,,Swindon Supermarine,Merthyr Town,2,1,H
southern-league-premier-south,,Tiverton Town,Truro City,1,1,D
southern-league-premier-south,,Winchester City,Gosport Borough,0,1,A
southern-league-premier-south,,Yate Town,Dorchester Town,0,0,D
southern-league-premier-south,,Chesham United,Beaconsfield Town,4,2,H
southern-league-premier-south,,Hanwell Town,Metropolitan Police,0,1,A
southern-league-premier-south,,Salisbury,Merthyr Town,1,2,A
southern-league-premier-south,,Swindon Supermarine,Dorchester Town,3,2,H
southern-league-premier-south,,Tiverton Town,Yate Town,4,2,H
southern-league-premier-south,,Truro City,Weston-super-Mare,0,0,D
southern-league-premier-south,,Harrow Borough,Hendon,1,3,A
southern-league-premier-south,,Hanwell Town,Dorchester Town,2,1,H
southern-league-premier-south,,Harrow Borough,North Leigh,1,0,H
southern-league-premier-south,,Hartley Wintney,Plymouth Parkway,4,4,D
southern-league-premier-south,,Hayes & Yeading United,Weston-super-Mare,0,1,A
southern-league-premier-south,,Poole Town,Yate Town,5,0,H
southern-league-premier-south,,Salisbury,Bracknell Town,2,1,H
southern-league-premier-south,,Swindon Supermarine,Beaconsfield Town,1,1,D
southern-league-premier-south,,Tiverton Town,Metropolitan Police,3,2,H
southern-league-premier-south,,Truro City,Gosport Borough,1,0,H
southern-league-premier-south,,Winchester City,Hendon,1,1,D
southern-league-premier-south,,Beaconsfield Town,Harrow Borough,1,3,A
southern-league-premier-south,,Bracknell Town,Hanwell Town,1,1,D
southern-league-premier-south,,Dorchester Town,Tiverton Town,1,2,A
southern-league-premier-south,,Hendon,Chesham United,0,0,D
southern-league-premier-south,,Merthyr Town,Winchester City,5,2,H
southern-league-premier-south,,North Leigh,Hayes & Yeading United,1,1,D
southern-league-premier-south,,Plymouth Parkway,Salisbury,3,1,H
southern-league-premier-south,,Weston-super-Mare,Swindon Supermarine,3,1,H
southern-league-premier-south,,Yate Town,Truro City,1,2,A
southern-league-premier-south,,Gosport Borough,Poole Town,1,2,A
southern-league-premier-south,,Beaconsfield Town,Poole Town,0,2,A
southern-league-premier-south,,Chesham United,Tiverton Town,3,0,H
southern-league-premier-south,,Dorchester Town,Harrow Borough,3,2,H
southern-league-premier-south,,Gosport Borough,North Leigh,2,0,H
southern-league-premier-south,,Hartley Wintney,Truro City,0,1,A
southern-league-premier-south,,Beaconsfield Town,Hartley Wintney,1,0,H
southern-league-premier-south,,Hayes & Yeading United,Gosport Borough,3,2,H
southern-league-premier-south,,North Leigh,Hanwell Town,2,0,H
southern-league-premier-south,,Dorchester Town,Weston-super-Mare,0,3,A
southern-league-premier-south,,Hanwell Town,Hayes & Yeading United,3,2,H
southern-league-premier-south,,Harrow Borough,Chesham United,2,1,H
southern-league-premier-south,,Metropolitan Police,Gosport Borough,2,1,H
southern-league-premier-south,,North Leigh,Merthyr Town,0,2,A
southern-league-premier-south,,Poole Town,Bracknell Town,2,2,D
southern-league-premier-south,,Winchester City,Hartley Wintney,2,1,H
southern-league-premier-south,,Yate Town,Plymouth Parkway,4,0,H
southern-league-premier-south,,Tiverton Town,Salisbury,2,4,A
southern-league-premier-south,,Truro City,Swindon Supermarine,4,0,H
southern-league-premier-south,,Dorchester Town,Hayes & Yeading United,1,3,A
southern-league-premier-south,,Hanwell Town,Gosport Borough,4,1,H
southern-league-premier-south,,Harrow Borough,Plymouth Parkway,0,1,A
southern-league-premier-south,,North Leigh,Salisbury,1,1,D
southern-league-premier-south,,Poole Town,Hartley Wintney,1,0,H
